Ligne (ID),Ligne_nom_court,Date de début de validité,Résolution,Image
3,C3,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/f6a1352941024e045ced925b43060482
6,C6,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/100f89f705429ea1e3ab92de56866e38
9,9,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/fa66de9e15ec0ed7cd035af6f3836870
14,14,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/79616969dc931d8d3d3846ad3c5942dc
37,37,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/fc1571628ef31fd5818e26c03a90c7cb
40,40ex,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/47328d47ecaaaf8559802b33bde256e7
50,50,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/ab7fe467ad1b7fb3e6e45da09ca77eca
52,52,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/ffa96642ab39e3d01f24e68f5bfdfe83
61,61,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/0a8658467e683fefc1f4919d33c633fc
64,64,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/043033baa323cae1fbcf2e4c93f29f01
67,67,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/590157d9259c357a036d7a6dedd8882d
91,91,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/bcd50ac2f2d641c279976286c57ad8db
151,151ex,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/31dae3512c5680e1ecc36ddb6185803e
155,155ex,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/ee212454b5468797d43542c122f36f4c
156,156ex,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/2863609c528ae9cc39474a033fa06d1a
157,157ex,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/05088b86d88fc3c3355d7cf4274578c8
159,159ex,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/3c8a0d94f37b76caf62f11e09c3ce944
168,168ex,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/5d3b19a14a5ae27ae18ec48414b1593a
172,172ex,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/7d9b5d0f49182f77e506f81d90fa1d2b
211,211,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/afab565aaa886fc67ac99899ed7bb737
215,215,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/d2cbf2cf7b1db990df2676920fbd2aff
216,216,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/616feab9c2a6c5a5aca28a03020ebe16
225,225,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/bd3847e3b10eb0e49862f783369dcf3f
228,228,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/722f1c393621f07124e45d53fef49ba1
237,237,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/cb89cdd978eb87edd4fdf1f70192685f
240,240,2017-09-04,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/5123cb27a7fbf6abbedf6c9961d26d01
